Time	 CoPx	 Distance(d)	 Abs Distance	 Velocity
25076.49	-0.0737	0.0383	0.0383	0.0025
25096.29	-0.0056	0.0681	0.0681	0.0034
25111.39	-0.1412	-0.1356	0.1356	-0.009
25126.1	0.0144	0.1556	0.1556	0.0106
25145.8	0.0512	0.0368	0.0368	0.0019
25161.2	-0.2668	-0.318	0.318	-0.0206
25178.49	0.0401	0.3069	0.3069	0.0177
25193.59	-0.1431	-0.1831	0.1831	-0.0121
25214.14	-0.1356	0.0075	0.0075	0.0004
25228.84	-0.0056	0.13	0.13	0.0088
25244.08	0.3538	0.3594	0.3594	0.0236
25259.43	-0.1412	-0.495	0.495	-0.0322
25279.83	-0.1412	0.0	0.0	0.0
25295.03	-0.2041	-0.0629	0.0629	-0.0041
25309.64	-0.4443	-0.2402	0.2402	-0.0164
25329.75	0.0035	0.4478	0.4478	0.0223
25345.25	-0.1245	-0.128	0.128	-0.0083
25361.24	-0.1412	-0.0166	0.0166	-0.001
25378.41	-0.6013	-0.4601	0.4601	-0.0268
25393.85	0.0138	0.6151	0.6151	0.0398
25413.7	-0.2144	-0.2282	0.2282	-0.0115
25428.63	-0.1356	0.0788	0.0788	0.0053
25443.76	0.0512	0.1868	0.1868	0.0123
25463.63	0.5458	0.4946	0.4946	0.0249
25479.01	0.0413	-0.5045	0.5045	-0.0328
25494.39	0.4768	0.4355	0.4355	0.0283
25509.81	-0.6072	-1.084	1.084	-0.0703
25529.77	-0.0737	0.5335	0.5335	0.0267
25545.16	-0.0851	-0.0114	0.0114	-0.0007
25560.58	-0.0851	0.0	0.0	0.0
25581.83	0.49	0.575	0.575	0.0271
25597.25	0.0543	-0.4357	0.4357	-0.0283
25612.63	-0.2144	-0.2687	0.2687	-0.0175
25628.7	-0.1356	0.0788	0.0788	0.0049
25644.2	-0.1356	0.0	0.0	0.0
25664.29	-0.0156	0.1199	0.1199	0.006
25679.56	-0.7306	-0.7149	0.7149	-0.0468
25694.77	-0.0138	0.7168	0.7168	0.0471
25709.55	0.3538	0.3676	0.3676	0.0249
25729.62	-0.1241	-0.4779	0.4779	-0.0238
25744.76	0.3362	0.4602	0.4602	0.0304
25760.1	-0.1529	-0.489	0.489	-0.0319
25782.71	0.0332	0.186	0.186	0.0082
25793.45	-1.1055	-1.1386	1.1386	-0.106
25814.06	-0.6072	0.4983	0.4983	0.0242
25829.25	-0.0056	0.6016	0.6016	0.0396
25844.91	-0.1412	-0.1356	0.1356	-0.0087
25860.38	-0.1461	-0.0049	0.0049	-0.0003
25880.15	-0.0688	0.0773	0.0773	0.0039
25895.28	-0.0737	-0.0049	0.0049	-0.0003
25911.4	-0.0056	0.0681	0.0681	0.0042
25926.76	-0.1562	-0.1506	0.1506	-0.0098
25946.57	-0.2238	-0.0676	0.0676	-0.0034
25961.98	-1.223	-0.9992	0.9992	-0.0648
25977.57	-0.6712	0.5518	0.5518	0.0354
25995.08	-0.0302	0.641	0.641	0.0366
26009.92	-0.6072	-0.577	0.577	-0.0389
26029.63	-0.7087	-0.1015	0.1015	-0.0051
26044.97	-0.2253	0.4834	0.4834	0.0315
26060.23	0.3985	0.6238	0.6238	0.0409
26080.16	0.5564	0.158	0.158	0.0079
26095.38	-0.1716	-0.728	0.728	-0.0478
26110.2	-0.0138	0.1578	0.1578	0.0106
26130.47	-0.1412	-0.1274	0.1274	-0.0063
26145.73	-0.6072	-0.466	0.466	-0.0305
26161.23	0.2683	0.8755	0.8755	0.0565
26176.58	0.2683	0.0	0.0	0.0
26193.56	0.3538	0.0855	0.0855	0.005
26214.04	0.2334	-0.1204	0.1204	-0.0059
26230.24	-0.6013	-0.8348	0.8348	-0.0515
26245.63	0.0543	0.6556	0.6556	0.0426
26261.31	-0.1235	-0.1778	0.1778	-0.0113
26276.88	-0.1356	-0.0121	0.0121	-0.0008
26296.85	-0.7306	-0.595	0.595	-0.0298
26312.43	-0.1235	0.607	0.607	0.039
26327.62	-0.1412	-0.0177	0.0177	-0.0012
26342.91	-0.1795	-0.0383	0.0383	-0.0025
26362.75	-0.0655	0.1141	0.1141	0.0057
26378.08	-1.0885	-1.023	1.023	-0.0667
26395.14	-0.4148	0.6736	0.6736	0.0395
26410.16	0.0512	0.466	0.466	0.031
26430.24	-0.0737	-0.1249	0.1249	-0.0062
26445.37	0.0193	0.093	0.093	0.0061
26460.47	-0.1356	-0.1549	0.1549	-0.0103
26476.37	-0.6014	-0.4659	0.4659	-0.0293
26496.74	-0.1795	0.4219	0.4219	0.0207
26512.42	0.5137	0.6932	0.6932	0.0442
26527.6	0.0193	-0.4944	0.4944	-0.0326
26542.92	0.0543	0.035	0.035	0.0023
26563.04	0.359	0.3047	0.3047	0.0151
26578.4	0.359	0.0	0.0	0.0
26596.22	-0.478	-0.8371	0.8371	-0.047
26611.58	0.4704	0.9484	0.9484	0.0617
26627.43	-0.1356	-0.606	0.606	-0.0382
26642.94	0.0273	0.1629	0.1629	0.0105
26662.83	0.0643	0.0369	0.0369	0.0019
26677.91	-0.1412	-0.2054	0.2054	-0.0136
26693.23	-0.1795	-0.0383	0.0383	-0.0025
26713.64	0.0643	0.2438	0.2438	0.0119
26728.7	0.0372	-0.0271	0.0271	-0.0018
26743.96	-0.0244	-0.0616	0.0616	-0.004
26764.11	-0.4623	-0.4379	0.4379	-0.0217
26779.38	-0.41	0.0523	0.0523	0.0034
26796.63	-0.6493	-0.2393	0.2393	-0.0139
26811.63	-0.1412	0.5081	0.5081	0.0339
26826.48	-0.2041	-0.0629	0.0629	-0.0042
26846.25	0.6869	0.891	0.891	0.0451
