00 0
00 1
00 2
00 3
00 4
00 5
00 6
00 8
00 Data was recorded 60 times per second
00 Date and Time: 2/10/2020 10:14:55 AM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):66395.94  stage:1 time_period:10 sway_degree:-15 #_of_sways:0 rep:1
01 timestamp(ms):67788.31 force plate (fx, fy, fz, mx, my, mz):-0.01550102,-0.07606697,-0.317627,-0.02862549,-0.008605957,-0.02452087
01 timestamp(ms):67827.7 force plate (fx, fy, fz, mx, my, mz):-0.0147686,-0.07445145,-0.1306152,-0.08044434,-0.04162598,-0.02403545
01 timestamp(ms):67851.59 force plate (fx, fy, fz, mx, my, mz):-0.01764488,0.1719246,-0.1306152,-0.0916748,-0.04177856,0.01764202
01 timestamp(ms):67875.59 force plate (fx, fy, fz, mx, my, mz):0.3199863,-0.06847,0.05688477,-0.02844238,0.007720947,0.07010555
01 timestamp(ms):67903.45 force plate (fx, fy, fz, mx, my, mz):0.3186016,0.175312,0.4318848,0.0645752,0.007995605,0.111167
01 timestamp(ms):67949.99 force plate (fx, fy, fz, mx, my, mz):-0.01725197,0.1666088,0.244873,0.1168823,0.025177,0.01619148
01 timestamp(ms):67976.69 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):68004.14 force plate (fx, fy, fz, mx, my, mz):0.3147373,-0.314394,-0.1320801,0.03436279,0.0406189,0.1126194
01 timestamp(ms):68039.36 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):68070.52 force plate (fx, fy, fz, mx, my, mz):-0.02038383,-0.3214893,-0.1320801,0.03485107,0.02474976,0.01812935
01 timestamp(ms):68104.09 force plate (fx, fy, fz, mx, my, mz):0.3165913,-0.3158741,0.05541992,0.08612061,0.007598877,0.1123514
01 timestamp(ms):68136.22 force plate (fx, fy, fz, mx, my, mz):-0.02038383,-0.3214893,-0.1320801,0.03485107,0.02474976,0.01812935
01 timestamp(ms):68169.95 force plate (fx, fy, fz, mx, my, mz):-0.01061821,0.1687355,0.05688477,-0.03894043,-0.008026123,-0.06738472
01 timestamp(ms):68203.66 force plate (fx, fy, fz, mx, my, mz):-0.01338768,-0.0737915,0.2438965,-0.08007813,0.02532959,-0.02405834
01 timestamp(ms):68237.58 force plate (fx, fy, fz, mx, my, mz):-0.01513481,-0.07556534,0.05688477,-0.0279541,-0.008148193,-0.0243845
01 timestamp(ms):68271.59 force plate (fx, fy, fz, mx, my, mz):0.3113346,-0.07591057,0.05883789,-0.027771,0.0737915,-0.116827
01 timestamp(ms):68304.36 force plate (fx, fy, fz, mx, my, mz):0.3114414,-0.07916451,0.05834961,0.07611084,0.007293701,-0.1174212
01 timestamp(ms):68336.73 force plate (fx, fy, fz, mx, my, mz):-0.009496689,0.1656475,0.05639648,0.0647583,-0.008026123,-0.06813812
01 timestamp(ms):68370.45 force plate (fx, fy, fz, mx, my, mz):-0.3413296,-0.07666969,-0.1320801,0.02337646,0.009429932,0.06741333
01 timestamp(ms):68415.21 force plate (fx, fy, fz, mx, my, mz):-0.02001381,-0.3209801,0.2434082,0.03552246,0.02520752,0.01826572
01 timestamp(ms):68440.24 force plate (fx, fy, fz, mx, my, mz):-0.01513481,-0.07556534,0.05688477,-0.0279541,-0.008148193,-0.0243845
