00 testapp
00 01
00 testapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:07:22 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):63420.79  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):64374.82 force plate (fx, fy, fz, mx, my, mz):0.2359295,-0.7802639,-1.734619,-0.4251099,0.730957,-0.009944439
01 timestamp(ms):64396.99 force plate (fx, fy, fz, mx, my, mz):0.2351971,-0.7818813,-1.921631,-0.37323,0.7639771,-0.01042986
01 timestamp(ms):64418.46 force plate (fx, fy, fz, mx, my, mz):0.9094467,-0.5267258,-0.8000488,-0.4910278,0.397583,0.03502131
01 timestamp(ms):64440.73 force plate (fx, fy, fz, mx, my, mz):0.9083481,-0.5294514,-0.7990723,-0.3867798,0.4640503,0.03418684
01 timestamp(ms):64463.13 force plate (fx, fy, fz, mx, my, mz):0.9139557,-0.2824173,-0.8000488,-0.5020142,0.3977051,-0.007977962
01 timestamp(ms):64485.65 force plate (fx, fy, fz, mx, my, mz):0.9090805,-0.5278358,-0.6120605,-0.4386597,0.4310608,0.03467226
01 timestamp(ms):64507.25 force plate (fx, fy, fz, mx, my, mz):0.9072227,-0.5263557,-0.7995605,-0.4904175,0.4640808,0.0349412
01 timestamp(ms):64529.66 force plate (fx, fy, fz, mx, my, mz):0.5665836,-0.2787514,-0.7973633,-0.8099976,0.6478577,-0.1005273
01 timestamp(ms):64552.25 force plate (fx, fy, fz, mx, my, mz):0.9017048,-0.2716599,-0.7973633,-0.8104858,0.6637268,-0.006037235
01 timestamp(ms):64574.11 force plate (fx, fy, fz, mx, my, mz):0.8988323,-0.02528381,-0.7973633,-0.8218384,0.6635437,0.03564024
01 timestamp(ms):64596.38 force plate (fx, fy, fz, mx, my, mz):0.8938961,-0.280735,-0.6083984,-0.7577515,0.6302795,-0.1930795
01 timestamp(ms):64618.55 force plate (fx, fy, fz, mx, my, mz):0.5662174,-0.2798615,-0.609375,-0.7576294,0.6813354,-0.1008763
01 timestamp(ms):64640.7 force plate (fx, fy, fz, mx, my, mz):0.5662174,-0.2798615,-0.609375,-0.7576294,0.6813354,-0.1008763
01 timestamp(ms):64663.01 force plate (fx, fy, fz, mx, my, mz):0.5643635,-0.2783813,-0.7963867,-0.8095093,0.7142944,-0.1006074
01 timestamp(ms):64686.29 force plate (fx, fy, fz, mx, my, mz):0.5643635,-0.2783813,-0.7963867,-0.8095093,0.7142944,-0.1006074
01 timestamp(ms):64707.35 force plate (fx, fy, fz, mx, my, mz):0.5643635,-0.2783813,-0.7963867,-0.8095093,0.7142944,-0.1006074
01 timestamp(ms):64729.62 force plate (fx, fy, fz, mx, my, mz):0.5588017,-0.2745514,-0.7949219,-0.9119263,0.8473511,-0.1000133
01 timestamp(ms):64751.85 force plate (fx, fy, fz, mx, my, mz):0.5544376,-0.02558517,-1.169434,-1.027405,0.8467407,-0.05771971
01 timestamp(ms):64773.94 force plate (fx, fy, fz, mx, my, mz):0.8905048,-0.509037,-0.7958984,-1.005737,0.7965698,0.03830957
01 timestamp(ms):64796.27 force plate (fx, fy, fz, mx, my, mz):0.8950214,-0.2647285,-0.7958984,-1.016724,0.7966919,-0.004689693
01 timestamp(ms):64818.57 force plate (fx, fy, fz, mx, my, mz):0.2319546,-0.274704,-1.171875,-0.9127197,0.7649231,-0.007708073
01 timestamp(ms):64840.57 force plate (fx, fy, fz, mx, my, mz):0.5584736,-0.5239563,-0.6083984,-0.7457275,0.6811829,-0.05779791
01 timestamp(ms):64862.75 force plate (fx, fy, fz, mx, my, mz):0.2330112,-0.5234489,-0.6103516,-0.7460938,0.665741,0.03448534
01 timestamp(ms):64884.8 force plate (fx, fy, fz, mx, my, mz):0.237524,-0.2791405,-0.6103516,-0.7570801,0.665863,-0.008513927
01 timestamp(ms):64907 force plate (fx, fy, fz, mx, my, mz):0.2392712,-0.2773666,-0.4233398,-0.8092651,0.6993408,-0.008187771
01 timestamp(ms):64929.45 force plate (fx, fy, fz, mx, my, mz):0.5733585,-0.2843132,0.3256836,-0.6017456,0.4497681,-0.1013055
01 timestamp(ms):64951.74 force plate (fx, fy, fz, mx, my, mz):0.9042263,-0.51717,0.1381836,-0.7476807,0.4985352,0.03712797
01 timestamp(ms):64974.01 force plate (fx, fy, fz, mx, my, mz):0.905714,-0.5197601,0.5126953,-0.6434326,0.4989929,0.03650999
01 timestamp(ms):64996.57 force plate (fx, fy, fz, mx, my, mz):0.9021091,-0.2750015,0.3256836,-0.6028442,0.5318298,0.07770205
