00 platetest
00 Data was recorded 60 times per second
00 Date and Time: 11/1/2022 2:40:49 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):37386.41  stage:1 time_period:10 sway_degree:-15 #_of_sways:0 rep:1
01 timestamp(ms):38318.03 force plate (fx, fy, fz, mx, my, mz):1.135099,0.6376362,-0.4702148,-1.720276,-1.296082,-0.03493357
01 timestamp(ms):38346.27 force plate (fx, fy, fz, mx, my, mz):1.136847,0.63941,-0.2832031,-1.772461,-1.262604,-0.03460741
01 timestamp(ms):38363.57 force plate (fx, fy, fz, mx, my, mz):1.134964,-0.08460236,0.09277344,-2.153687,-1.195374,-0.07197094
01 timestamp(ms):38384.58 force plate (fx, fy, fz, mx, my, mz):0.8110008,-0.086689,0.4658203,-2.049683,-1.210358,0.01969433
01 timestamp(ms):38407.61 force plate (fx, fy, fz, mx, my, mz):1.136711,-0.08283043,0.2797852,-2.205811,-1.161865,-0.07164478
01 timestamp(ms):38431.91 force plate (fx, fy, fz, mx, my, mz):0.8095093,-0.08409882,0.09082031,-2.154053,-1.210815,0.02031231
01 timestamp(ms):38451.62 force plate (fx, fy, fz, mx, my, mz):0.8095093,-0.08409882,0.09082031,-2.154053,-1.210815,0.02031231
01 timestamp(ms):38473.73 force plate (fx, fy, fz, mx, my, mz):1.144558,-0.5345039,-0.09399414,-3.013184,-0.8287048,0.2239623
01 timestamp(ms):38495.12 force plate (fx, fy, fz, mx, my, mz):0.8075104,-0.7857704,0.2785645,-3.001526,-0.910675,0.172688
01 timestamp(ms):38518.52 force plate (fx, fy, fz, mx, my, mz):1.142632,-0.7786751,0.279541,-3.002136,-0.8948059,0.2671781
01 timestamp(ms):38541.25 force plate (fx, fy, fz, mx, my, mz):1.468094,-0.7791862,0.2814941,-3.00177,-0.879364,0.1748948
01 timestamp(ms):38562.69 force plate (fx, fy, fz, mx, my, mz):1.144558,-0.5345039,-0.09399414,-3.013184,-0.8287048,0.2239623
01 timestamp(ms):38589.56 force plate (fx, fy, fz, mx, my, mz):0.4805889,-0.5466251,0.4672852,-2.750977,-0.5600586,0.2196383
01 timestamp(ms):38608.15 force plate (fx, fy, fz, mx, my, mz):0.4817944,-0.5471478,0.4667969,-2.751221,-0.6930542,0.2198787
01 timestamp(ms):38630.38 force plate (fx, fy, fz, mx, my, mz):0.4814281,-0.5482578,0.6547852,-2.698853,-0.6595764,0.2195296
01 timestamp(ms):38651.4 force plate (fx, fy, fz, mx, my, mz):0.8089962,-0.5458813,0.6557617,-2.80304,-0.6441345,0.1279197
01 timestamp(ms):38673.89 force plate (fx, fy, fz, mx, my, mz):-0.2214165,-0.5671043,-1.395752,-2.432556,0.4033203,0.0265069
01 timestamp(ms):38694.96 force plate (fx, fy, fz, mx, my, mz):-0.2204037,-0.5669498,-1.395508,-2.432922,0.4698181,0.02634716
01 timestamp(ms):38718.17 force plate (fx, fy, fz, mx, my, mz):-0.5406208,-0.3205128,-1.210449,-2.496094,0.4214783,0.07611847
01 timestamp(ms):38740.56 force plate (fx, fy, fz, mx, my, mz):-0.8797112,-0.3284035,-1.960205,-2.49585,0.4046936,-0.0185647
01 timestamp(ms):38761.74 force plate (fx, fy, fz, mx, my, mz):-0.8813534,-0.5746403,-1.210449,-2.380188,0.4720154,0.02379417
01 timestamp(ms):38784.52 force plate (fx, fy, fz, mx, my, mz):-0.5514927,-0.3128853,0.1091309,-2.644104,1.055145,-0.007787704
01 timestamp(ms):38812.64 force plate (fx, fy, fz, mx, my, mz):-0.5496349,-0.3143654,0.2961426,-2.592224,1.022125,-0.008056641
01 timestamp(ms):38829.68 force plate (fx, fy, fz, mx, my, mz):-0.8758221,-0.3154774,0.1079102,-2.540833,1.039673,0.0837431
01 timestamp(ms):38853.32 force plate (fx, fy, fz, mx, my, mz):-1.212435,-0.3199749,-0.2675781,-2.644592,1.023376,-0.01013088
01 timestamp(ms):38873.49 force plate (fx, fy, fz, mx, my, mz):-1.212435,-0.3199749,-0.2675781,-2.644592,1.023376,-0.01013088
01 timestamp(ms):38895.2 force plate (fx, fy, fz, mx, my, mz):-0.885046,-0.07434082,0.1062012,-2.656189,0.9061584,-0.06044006
