00 datatest
00 Data was recorded 60 times per second
00 Date and Time: 1/23/2023 2:14:48 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):23052.57  stage:1 time_period:10 sway_degree:-5 #_of_sways:60 rep:1
01 timestamp(ms):23728.99 force plate (fx, fy, fz, mx, my, mz):-0.04601097,0.237154,0.2392578,0.03265381,0.009002686,-0.0139904
01 timestamp(ms):23744.14 force plate (fx, fy, fz, mx, my, mz):-0.04786873,0.2386265,0.05273438,-0.019104,0.04202271,-0.01372147
01 timestamp(ms):23761.11 force plate (fx, fy, fz, mx, my, mz):-0.04277611,-0.008115768,0.05322266,-0.008605957,-0.02432251,-0.05531979
01 timestamp(ms):23776.65 force plate (fx, fy, fz, mx, my, mz):-0.04728508,-0.2524166,0.05126953,0.002380371,-0.02444458,-0.01232052
01 timestamp(ms):23796.84 force plate (fx, fy, fz, mx, my, mz):-0.04914284,-0.2509365,-0.1352539,-0.04937744,0.008575439,-0.01205158
01 timestamp(ms):23811.83 force plate (fx, fy, fz, mx, my, mz):0.2874699,-0.2464352,0.2392578,0.05438232,0.02490234,0.08182144
01 timestamp(ms):23826.83 force plate (fx, fy, fz, mx, my, mz):-0.04801369,-0.2546368,0.4267578,0.1073608,0.0425415,-0.0130167
01 timestamp(ms):23847.05 force plate (fx, fy, fz, mx, my, mz):-0.04710579,-0.01063347,0.05419922,0.09674072,0.04220581,-0.05607319
01 timestamp(ms):23862.32 force plate (fx, fy, fz, mx, my, mz):-0.04601097,0.237154,0.2392578,0.03265381,0.009002686,-0.0139904
01 timestamp(ms):23877.7 force plate (fx, fy, fz, mx, my, mz):-0.04121399,0.2349415,-0.1333008,0.03295898,0.07531738,-0.09888363
01 timestamp(ms):23897.71 force plate (fx, fy, fz, mx, my, mz):-0.3682384,-0.007612228,0.05126953,-0.009094238,-0.0397644,0.03696537
01 timestamp(ms):23914.89 force plate (fx, fy, fz, mx, my, mz):-0.3686008,-0.008718491,0.2392578,0.043396,-0.006286621,0.03661728
01 timestamp(ms):23930.57 force plate (fx, fy, fz, mx, my, mz):-0.05023956,-0.2536678,-0.1342773,0.05493164,0.07507324,-0.01288509
01 timestamp(ms):23945.74 force plate (fx, fy, fz, mx, my, mz):-0.04903221,-0.2541904,-0.1357422,0.05450439,-0.05792236,-0.01264668
01 timestamp(ms):23962.72 force plate (fx, fy, fz, mx, my, mz):-0.05263901,-0.009431839,-0.3227539,0.09509277,-0.02505493,0.02854538
01 timestamp(ms):23978.17 force plate (fx, fy, fz, mx, my, mz):-0.04728508,-0.2524166,0.05126953,0.002380371,-0.02444458,-0.01232052
01 timestamp(ms):23993.87 force plate (fx, fy, fz, mx, my, mz):0.2845936,-5.912781E-05,0.2392578,0.04315186,0.02471924,0.1234989
01 timestamp(ms):24014.03 force plate (fx, fy, fz, mx, my, mz):-0.0522747,-0.00892067,0.05224609,0.09576416,-0.02459717,0.02868271
01 timestamp(ms):24029.17 force plate (fx, fy, fz, mx, my, mz):-0.0477581,0.2353802,0.05224609,0.08477783,-0.0244751,-0.01431656
01 timestamp(ms):24044.21 force plate (fx, fy, fz, mx, my, mz):-0.05052757,-0.007146835,0.2392578,0.04364014,0.008880615,0.02900887
01 timestamp(ms):24059.86 force plate (fx, fy, fz, mx, my, mz):-0.04277229,-0.008718491,0.6157227,0.04449463,0.009643555,-0.05553055
01 timestamp(ms):24080.01 force plate (fx, fy, fz, mx, my, mz):0.2877331,0.2429714,0.4267578,0.0848999,-0.008148193,0.08031082
01 timestamp(ms):24095.09 force plate (fx, fy, fz, mx, my, mz):-0.3714733,0.2376575,0.2373047,0.03216553,-0.006439209,0.07829475
01 timestamp(ms):24110.12 force plate (fx, fy, fz, mx, my, mz):-0.04462814,0.237812,0.6140137,0.03295898,0.07601929,-0.01401281
01 timestamp(ms):24130.7 force plate (fx, fy, fz, mx, my, mz):-0.04350471,-0.01033592,0.4287109,0.09637451,0.04266357,-0.05601597
01 timestamp(ms):24146.15 force plate (fx, fy, fz, mx, my, mz):0.2749348,-0.007658005,0.2412109,0.04412842,0.02432251,-0.06327438
01 timestamp(ms):24163.35 force plate (fx, fy, fz, mx, my, mz):-0.04499626,-0.007749557,0.05371094,-0.007873535,0.04217529,-0.05539894
01 timestamp(ms):24178.73 force plate (fx, fy, fz, mx, my, mz):0.2908573,0.0009632111,0.2407227,-0.06036377,0.02502441,0.03957653
01 timestamp(ms):24194.3 force plate (fx, fy, fz, mx, my, mz):0.292345,-0.001028061,0.05322266,-0.009094238,-0.008453369,0.03917027
01 timestamp(ms):24209.89 force plate (fx, fy, fz, mx, my, mz):-0.04601097,0.237154,0.2392578,0.03265381,0.009002686,-0.0139904
01 timestamp(ms):24230.02 force plate (fx, fy, fz, mx, my, mz):-0.04314232,-0.009222031,0.2412109,0.04388428,0.009155273,-0.05566788
01 timestamp(ms):24245.33 force plate (fx, fy, fz, mx, my, mz):0.2908573,0.0009632111,0.2407227,-0.06036377,0.02502441,0.03957653
01 timestamp(ms):24260.7 force plate (fx, fy, fz, mx, my, mz):-0.04961586,0.2368526,-0.1342773,0.03302002,0.008544922,-0.01404762
01 timestamp(ms):24280.47 force plate (fx, fy, fz, mx, my, mz):0.283865,-0.2467289,-0.1342773,0.05462646,0.02444458,0.08176422
01 timestamp(ms):24295.74 force plate (fx, fy, fz, mx, my, mz):-0.04939842,-0.2552967,0.05224609,0.1069946,-0.02444458,-0.01299477
01 timestamp(ms):24310.54 force plate (fx, fy, fz, mx, my, mz):-0.05125618,-0.2538242,-0.1342773,0.05523682,0.008575439,-0.01272583
01 timestamp(ms):24330.57 force plate (fx, fy, fz, mx, my, mz):-0.04389763,-0.005018234,0.05273438,-0.1122437,-0.02432251,-0.05456543
01 timestamp(ms):24345.86 force plate (fx, fy, fz, mx, my, mz):-0.04277611,-0.008115768,0.05322266,-0.008605957,-0.02432251,-0.05531979
01 timestamp(ms):24363.17 force plate (fx, fy, fz, mx, my, mz):-0.04314232,-0.009222031,0.2412109,0.04388428,0.009155273,-0.05566788
01 timestamp(ms):24378.56 force plate (fx, fy, fz, mx, my, mz):-0.05125618,-0.2538242,-0.1342773,0.05523682,0.008575439,-0.01272583
01 timestamp(ms):24393.78 force plate (fx, fy, fz, mx, my, mz):-0.04939842,-0.2552967,0.05224609,0.1069946,-0.02444458,-0.01299477
01 timestamp(ms):24413.66 force plate (fx, fy, fz, mx, my, mz):-0.04765129,-0.2535229,0.2392578,0.05487061,0.009033203,-0.01266861
01 timestamp(ms):24428.27 force plate (fx, fy, fz, mx, my, mz):-0.048666,-0.2536793,0.2392578,0.05511475,-0.0574646,-0.01250935
01 timestamp(ms):24443.63 force plate (fx, fy, fz, mx, my, mz):-0.04415703,-0.009378433,0.2412109,0.04412842,-0.05734253,-0.05550861
01 timestamp(ms):24463.27 force plate (fx, fy, fz, mx, my, mz):0.2731876,-0.009431839,0.05419922,0.09625244,-0.009155273,-0.06360054
