00 testrun
00 01
00 testingapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:05:28 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):78432.86  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):79409.69 force plate (fx, fy, fz, mx, my, mz):2.367956,4.062075,-0.6843262,1.743103,4.100037,-1.405421
01 timestamp(ms):79431.8 force plate (fx, fy, fz, mx, my, mz):2.364618,4.310598,-0.4968262,1.680298,4.19986,-1.363497
01 timestamp(ms):79454.82 force plate (fx, fy, fz, mx, my, mz):2.36978,4.308886,-0.4958496,1.681152,4.266632,-1.448256
01 timestamp(ms):79476.88 force plate (fx, fy, fz, mx, my, mz):2.039698,4.553991,-0.685791,1.721619,4.21756,-1.314622
01 timestamp(ms):79498.06 force plate (fx, fy, fz, mx, my, mz):-0.9080582,2.909142,7.002197,0.4241333,5.919312,-0.4762306
01 timestamp(ms):79520.27 force plate (fx, fy, fz, mx, my, mz):-1.243908,2.65538,6.627686,0.4362793,5.903168,-0.6124592
01 timestamp(ms):79542.95 force plate (fx, fy, fz, mx, my, mz):-1.234615,2.661869,6.813232,0.487793,5.937103,-0.4260321
01 timestamp(ms):79565.23 force plate (fx, fy, fz, mx, my, mz):-1.236835,2.662239,6.814697,0.4884033,6.003571,-0.4261122
01 timestamp(ms):79587.41 force plate (fx, fy, fz, mx, my, mz):-1.230576,2.908321,7.001709,0.4252319,6.03717,-0.4687853
01 timestamp(ms):79609.45 force plate (fx, fy, fz, mx, my, mz):-1.278219,-0.6212025,0.2629395,-3.351196,7.295197,0.3727312
01 timestamp(ms):79631.76 force plate (fx, fy, fz, mx, my, mz):-0.9406185,-0.6107197,0.6369629,-3.45575,7.311523,0.4680328
01 timestamp(ms):79653.92 force plate (fx, fy, fz, mx, my, mz):-1.27796,-0.6174412,0.6374512,-3.454651,7.362183,0.3734627
01 timestamp(ms):79676.3 force plate (fx, fy, fz, mx, my, mz):-1.278322,-0.8636093,0.6391602,-3.442383,7.362335,0.3318644
01 timestamp(ms):79698.3 force plate (fx, fy, fz, mx, my, mz):-1.960024,-1.056009,7.023438,-5.173096,8.337738,0.04789066
01 timestamp(ms):79720.81 force plate (fx, fy, fz, mx, my, mz):-2.285486,-1.055506,7.022461,-5.173462,8.322357,0.1401739
01 timestamp(ms):79742.63 force plate (fx, fy, fz, mx, my, mz):-2.279955,-1.056108,6.835938,-5.225098,8.355621,0.05576229
01 timestamp(ms):79764.98 force plate (fx, fy, fz, mx, my, mz):-1.961512,-1.053423,6.647461,-5.277344,8.33725,0.04850674
01 timestamp(ms):79788.43 force plate (fx, fy, fz, mx, my, mz):-1.959116,-1.297659,6.836426,-5.317688,8.437439,0.00707531
